title,link,company,salary,location,exp
Game Client Developer,https://www.topcv.vn/viec-lam/game-client-developer/1885078.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,CÔNG TY TNHH ULT VIỆT NAM,15 - 25 triệu,Hà Nội,1 năm
"Junior Fullstack Developers - Fintech, Ecommerce",https://www.topcv.vn/viec-lam/junior-fullstack-developers-fintech-ecommerce/1487371.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,CÔNG TY TNHH TÍCH HỢP CRM,Thoả thuận,Hà Nội,Dưới 1 năm
"Full Stack Developer (Java, Springboot, React)",https://www.topcv.vn/viec-lam/full-stack-developer-java-springboot-react/1783213.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,Công Ty TNHH LG CNS VIỆT NAM,Thoả thuận,Hà Nội,1 năm
Business Analyst (Yêu Cầu Tốt Nghiệp MBA),https://www.topcv.vn/brand/congtycophanmisa/tuyen-dung/business-analyst-yeu-cau-tot-nghiep-mba-j1895258.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,ProCông ty Cổ phần MISA,Thoả thuận,Hà Nội,2 năm
Senior IT Project Manager (Japanese Projects) - Thu Nhập Upto 3000 USD - Đi Làm Ngay (Hà Nội),https://www.topcv.vn/viec-lam/senior-it-project-manager-japanese-projects-thu-nhap-upto-3000-usd-di-lam-ngay-ha-noi/1894284.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,Công ty Cổ phần NTTe-MOI,"Tới 3,000 USD",Hà Nội,5 năm
Java Backend Leader,https://www.topcv.vn/viec-lam/java-backend-leader/1718449.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,Công ty cổ phần PayPay,Tới 50 triệu,Hà Nội,4 năm
Trưởng/Phó Phòng R&D,https://www.topcv.vn/viec-lam/truong-pho-phong-rd/1896253.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ IDEA,Thoả thuận,Hồ Chí Minh,Trên 5 năm
Nhân Viên Kỹ Thuật,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat/1899212.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,CÔNG TY TNHH GIẢI PHÁP THIÊN PHÚC HƯNG,Thoả thuận,Hà Nội,1 năm
3D Rigging Artist (Lương 25tr - 45tr) Tại Hồ Chí Minh - Yêu Cầu Bắt Buộc Nộp Portfolio,https://www.topcv.vn/viec-lam/3d-rigging-artist-luong-25tr-45tr-tai-ho-chi-minh-yeu-cau-bat-buoc-nop-portfolio/1736983.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,CÔNG TY TNHH VLAST VIỆT NAM,25 - 45 triệu,Hồ Chí Minh,Không yêu cầu
Senior UI UX Designer (Blockchain),https://www.topcv.vn/viec-lam/senior-ui-ux-designer-blockchain/1852014.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,CÔNG TY CỔ PHẦN 1MATRIX,Thoả thuận,Hà Nội,5 năm
Software Developer (C++/Golang),https://www.topcv.vn/viec-lam/software-developer-c-golang/1637012.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,AS SOLUTIONS,10 - 40 triệu,Hồ Chí Minh,Không yêu cầu
AI Engineer,https://www.topcv.vn/viec-lam/ai-engineer/1898979.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,CÔNG TY CỔ PHẦN CÔNG NGHỆ MOBIWORK VIỆT NAM,13 - 18 triệu,Hà Nội,1 năm
Nhân Viên Business Analyst,https://www.topcv.vn/viec-lam/nhan-vien-business-analyst/1646337.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,Công ty TNHH Phát triển công nghệ điện tử Bình Anh,15 - 20 triệu,Hà Nội,2 năm
Angular Developer,https://www.topcv.vn/viec-lam/angular-developer/1900040.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,Công ty cổ phần phần mềm ITSOL Holdings,15 - 22 triệu,Hà Nội,2 năm
